状态栈后10个                                           符号栈后10个                                           输入前10个                                            动作                                                
0 1 6 14 41 176 43                                stmts id2 = join || rel                           ; a2 = 0 || 1 b = 1 &&                            (43,;)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(176,equality)→42
0 1 6 14 41 176 42                                stmts id2 = join || equality                      ; a2 = 0 || 1 b = 1 &&                            (42,;)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(176,join)→41
0 1 6 14 41 176 41                                stmts id2 = join || join                          ; a2 = 0 || 1 b = 1 &&                            (41,;)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(176,bool)→388
0 1 6 14 41 176 388                               stmts id2 = join || bool                          ; a2 = 0 || 1 b = 1 &&                            (388,;)→r15：根据bool→join || bool归约：将状态栈和符号栈都出栈3个，再将bool加到符号栈里，再(14,bool)→39
0 1 6 14 39                                       stmts id2 = bool                                  ; a2 = 0 || 1 b = 1 &&                            (39,;)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(14,s2)→37
0 1 6 14 37                                       stmts id2 = s2                                    ; a2 = 0 || 1 b = 1 &&                            (37,;)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(1,s)→3
0 1 3                                             stmts s                                           ; a2 = 0 || 1 b = 1 &&                            (3,;)→s9
0 1 3 9                                           stmts s ;                                         a2 = 0 || 1 b = 1 && 0                            (9,id)→r4：根据stmt→s ;归约：将状态栈和符号栈都出栈2个，再将stmt加到符号栈里，再(1,stmt)→2
0 1 2                                             stmts stmt                                        a2 = 0 || 1 b = 1 && 0                            (2,id)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             a2 = 0 || 1 b = 1 && 0                            (1,id)→s7
0 1 7                                             stmts id                                          = 0 || 1 b = 1 && 0 ;                             (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = 0 || 1 b = 1 && 0 ;                             (6,=)→s14
0 1 6 14                                          stmts id2 =                                       0 || 1 b = 1 && 0 ; b2                            (14,num)→s53
0 1 6 14 53                                       stmts id2 = num                                   || 1 b = 1 && 0 ; b2 =                            (53,||)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(14,factor)→49
0 1 6 14 49                                       stmts id2 = factor                                || 1 b = 1 && 0 ; b2 =                            (49,||)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(14,unary)→46
0 1 6 14 46                                       stmts id2 = unary                                 || 1 b = 1 && 0 ; b2 =                            (46,||)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(14,term)→45
0 1 6 14 45                                       stmts id2 = term                                  || 1 b = 1 && 0 ; b2 =                            (45,||)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(14,expr)→44
0 1 6 14 44                                       stmts id2 = expr                                  || 1 b = 1 && 0 ; b2 =                            (44,||)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(14,rel)→43
0 1 6 14 43                                       stmts id2 = rel                                   || 1 b = 1 && 0 ; b2 =                            (43,||)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(14,equality)→42
0 1 6 14 42                                       stmts id2 = equality                              || 1 b = 1 && 0 ; b2 =                            (42,||)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(14,join)→41
0 1 6 14 41                                       stmts id2 = join                                  || 1 b = 1 && 0 ; b2 =                            (41,||)→s176
0 1 6 14 41 176                                   stmts id2 = join ||                               1 b = 1 && 0 ; b2 = 1                             (176,num)→s53
0 1 6 14 41 176 53                                stmts id2 = join || num                           b = 1 && 0 ; b2 = 1 &&                            (53,id)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(176,factor)→49
0 1 6 14 41 176 49                                stmts id2 = join || factor                        b = 1 && 0 ; b2 = 1 &&                            (49,id)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(176,unary)→46
0 1 6 14 41 176 46                                stmts id2 = join || unary                         b = 1 && 0 ; b2 = 1 &&                            (46,id)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(176,term)→45
0 1 6 14 41 176 45                                stmts id2 = join || term                          b = 1 && 0 ; b2 = 1 &&                            (45,id)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(176,expr)→44
0 1 6 14 41 176 44                                stmts id2 = join || expr                          b = 1 && 0 ; b2 = 1 &&                            (44,id)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(176,rel)→43
0 1 6 14 41 176 43                                stmts id2 = join || rel                           b = 1 && 0 ; b2 = 1 &&                            (43,id)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(176,equality)→42
0 1 6 14 41 176 42                                stmts id2 = join || equality                      b = 1 && 0 ; b2 = 1 &&                            (42,id)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(176,join)→41
0 1 6 14 41 176 41                                stmts id2 = join || join                          b = 1 && 0 ; b2 = 1 &&                            (41,id)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(176,bool)→388
0 1 6 14 41 176 388                               stmts id2 = join || bool                          b = 1 && 0 ; b2 = 1 &&                            (388,id)→r15：根据bool→join || bool归约：将状态栈和符号栈都出栈3个，再将bool加到符号栈里，再(14,bool)→39
0 1 6 14 39                                       stmts id2 = bool                                  b = 1 && 0 ; b2 = 1 &&                            (39,id)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(14,s2)→37
0 1 6 14 37                                       stmts id2 = s2                                    b = 1 && 0 ; b2 = 1 &&                            (37,id)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(1,s)→3
0 1 3                                             stmts s                                           b = 1 && 0 ; b2 = 1 &&                            (3,id)→r5：根据stmt→s归约：将状态栈和符号栈都出栈1个，再将stmt加到符号栈里，再(1,stmt)→2
0 1 2                                             stmts stmt                                        b = 1 && 0 ; b2 = 1 &&                            (2,id)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             b = 1 && 0 ; b2 = 1 &&                            (1,id)→s7
0 1 7                                             stmts id                                          = 1 && 0 ; b2 = 1 && 1                            (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = 1 && 0 ; b2 = 1 && 1                            (6,=)→s14
0 1 6 14                                          stmts id2 =                                       1 && 0 ; b2 = 1 && 1 c                            (14,num)→s53
0 1 6 14 53                                       stmts id2 = num                                   && 0 ; b2 = 1 && 1 c =                            (53,&&)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(14,factor)→49
0 1 6 14 49                                       stmts id2 = factor                                && 0 ; b2 = 1 && 1 c =                            (49,&&)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(14,unary)→46
0 1 6 14 46                                       stmts id2 = unary                                 && 0 ; b2 = 1 && 1 c =                            (46,&&)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(14,term)→45
0 1 6 14 45                                       stmts id2 = term                                  && 0 ; b2 = 1 && 1 c =                            (45,&&)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(14,expr)→44
0 1 6 14 44                                       stmts id2 = expr                                  && 0 ; b2 = 1 && 1 c =                            (44,&&)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(14,rel)→43
0 1 6 14 43                                       stmts id2 = rel                                   && 0 ; b2 = 1 && 1 c =                            (43,&&)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(14,equality)→42
0 1 6 14 42                                       stmts id2 = equality                              && 0 ; b2 = 1 && 1 c =                            (42,&&)→s177
0 1 6 14 42 177                                   stmts id2 = equality &&                           0 ; b2 = 1 && 1 c = 1                             (177,num)→s53
0 1 6 14 42 177 53                                stmts id2 = equality && num                       ; b2 = 1 && 1 c = 1 ==                            (53,;)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(177,factor)→49
0 1 6 14 42 177 49                                stmts id2 = equality && factor                    ; b2 = 1 && 1 c = 1 ==                            (49,;)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(177,unary)→46
0 1 6 14 42 177 46                                stmts id2 = equality && unary                     ; b2 = 1 && 1 c = 1 ==                            (46,;)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(177,term)→45
0 1 6 14 42 177 45                                stmts id2 = equality && term                      ; b2 = 1 && 1 c = 1 ==                            (45,;)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(177,expr)→44
0 1 6 14 42 177 44                                stmts id2 = equality && expr                      ; b2 = 1 && 1 c = 1 ==                            (44,;)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(177,rel)→43
0 1 6 14 42 177 43                                stmts id2 = equality && rel                       ; b2 = 1 && 1 c = 1 ==                            (43,;)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(177,equality)→42
0 1 6 14 42 177 42                                stmts id2 = equality && equality                  ; b2 = 1 && 1 c = 1 ==                            (42,;)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(177,join)→389
0 1 6 14 42 177 389                               stmts id2 = equality && join                      ; b2 = 1 && 1 c = 1 ==                            (389,;)→r17：根据join→equality && join归约：将状态栈和符号栈都出栈3个，再将join加到符号栈里，再(14,join)→41
0 1 6 14 41                                       stmts id2 = join                                  ; b2 = 1 && 1 c = 1 ==                            (41,;)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(14,bool)→39
0 1 6 14 39                                       stmts id2 = bool                                  ; b2 = 1 && 1 c = 1 ==                            (39,;)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(14,s2)→37
0 1 6 14 37                                       stmts id2 = s2                                    ; b2 = 1 && 1 c = 1 ==                            (37,;)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(1,s)→3
0 1 3                                             stmts s                                           ; b2 = 1 && 1 c = 1 ==                            (3,;)→s9
0 1 3 9                                           stmts s ;                                         b2 = 1 && 1 c = 1 == 0                            (9,id)→r4：根据stmt→s ;归约：将状态栈和符号栈都出栈2个，再将stmt加到符号栈里，再(1,stmt)→2
0 1 2                                             stmts stmt                                        b2 = 1 && 1 c = 1 == 0                            (2,id)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             b2 = 1 && 1 c = 1 == 0                            (1,id)→s7
0 1 7                                             stmts id                                          = 1 && 1 c = 1 == 0 ;                             (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = 1 && 1 c = 1 == 0 ;                             (6,=)→s14
0 1 6 14                                          stmts id2 =                                       1 && 1 c = 1 == 0 ; c2                            (14,num)→s53
0 1 6 14 53                                       stmts id2 = num                                   && 1 c = 1 == 0 ; c2 =                            (53,&&)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(14,factor)→49
0 1 6 14 49                                       stmts id2 = factor                                && 1 c = 1 == 0 ; c2 =                            (49,&&)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(14,unary)→46
0 1 6 14 46                                       stmts id2 = unary                                 && 1 c = 1 == 0 ; c2 =                            (46,&&)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(14,term)→45
0 1 6 14 45                                       stmts id2 = term                                  && 1 c = 1 == 0 ; c2 =                            (45,&&)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(14,expr)→44
0 1 6 14 44                                       stmts id2 = expr                                  && 1 c = 1 == 0 ; c2 =                            (44,&&)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(14,rel)→43
0 1 6 14 43                                       stmts id2 = rel                                   && 1 c = 1 == 0 ; c2 =                            (43,&&)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(14,equality)→42
0 1 6 14 42                                       stmts id2 = equality                              && 1 c = 1 == 0 ; c2 =                            (42,&&)→s177
0 1 6 14 42 177                                   stmts id2 = equality &&                           1 c = 1 == 0 ; c2 = 2                             (177,num)→s53
0 1 6 14 42 177 53                                stmts id2 = equality && num                       c = 1 == 0 ; c2 = 2 ==                            (53,id)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(177,factor)→49
0 1 6 14 42 177 49                                stmts id2 = equality && factor                    c = 1 == 0 ; c2 = 2 ==                            (49,id)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(177,unary)→46
0 1 6 14 42 177 46                                stmts id2 = equality && unary                     c = 1 == 0 ; c2 = 2 ==                            (46,id)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(177,term)→45
0 1 6 14 42 177 45                                stmts id2 = equality && term                      c = 1 == 0 ; c2 = 2 ==                            (45,id)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(177,expr)→44
0 1 6 14 42 177 44                                stmts id2 = equality && expr                      c = 1 == 0 ; c2 = 2 ==                            (44,id)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(177,rel)→43
0 1 6 14 42 177 43                                stmts id2 = equality && rel                       c = 1 == 0 ; c2 = 2 ==                            (43,id)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(177,equality)→42
0 1 6 14 42 177 42                                stmts id2 = equality && equality                  c = 1 == 0 ; c2 = 2 ==                            (42,id)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(177,join)→389
0 1 6 14 42 177 389                               stmts id2 = equality && join                      c = 1 == 0 ; c2 = 2 ==                            (389,id)→r17：根据join→equality && join归约：将状态栈和符号栈都出栈3个，再将join加到符号栈里，再(14,join)→41
0 1 6 14 41                                       stmts id2 = join                                  c = 1 == 0 ; c2 = 2 ==                            (41,id)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(14,bool)→39
0 1 6 14 39                                       stmts id2 = bool                                  c = 1 == 0 ; c2 = 2 ==                            (39,id)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(14,s2)→37
0 1 6 14 37                                       stmts id2 = s2                                    c = 1 == 0 ; c2 = 2 ==                            (37,id)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(1,s)→3
0 1 3                                             stmts s                                           c = 1 == 0 ; c2 = 2 ==                            (3,id)→r5：根据stmt→s归约：将状态栈和符号栈都出栈1个，再将stmt加到符号栈里，再(1,stmt)→2
0 1 2                                             stmts stmt                                        c = 1 == 0 ; c2 = 2 ==                            (2,id)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             c = 1 == 0 ; c2 = 2 ==                            (1,id)→s7
0 1 7                                             stmts id                                          = 1 == 0 ; c2 = 2 == 2                            (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = 1 == 0 ; c2 = 2 == 2                            (6,=)→s14
0 1 6 14                                          stmts id2 =                                       1 == 0 ; c2 = 2 == 2 d                            (14,num)→s53
0 1 6 14 53                                       stmts id2 = num                                   == 0 ; c2 = 2 == 2 d =                            (53,==)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(14,factor)→49
0 1 6 14 49                                       stmts id2 = factor                                == 0 ; c2 = 2 == 2 d =                            (49,==)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(14,unary)→46
0 1 6 14 46                                       stmts id2 = unary                                 == 0 ; c2 = 2 == 2 d =                            (46,==)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(14,term)→45
0 1 6 14 45                                       stmts id2 = term                                  == 0 ; c2 = 2 == 2 d =                            (45,==)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(14,expr)→44
0 1 6 14 44                                       stmts id2 = expr                                  == 0 ; c2 = 2 == 2 d =                            (44,==)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(14,rel)→43
0 1 6 14 43                                       stmts id2 = rel                                   == 0 ; c2 = 2 == 2 d =                            (43,==)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(14,equality)→42
0 1 6 14 42                                       stmts id2 = equality                              == 0 ; c2 = 2 == 2 d =                            (42,==)→s178
0 1 6 14 42 178                                   stmts id2 = equality ==                           0 ; c2 = 2 == 2 d = 3                             (178,num)→s53
0 1 6 14 42 178 53                                stmts id2 = equality == num                       ; c2 = 2 == 2 d = 3 !=                            (53,;)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(178,factor)→49
0 1 6 14 42 178 49                                stmts id2 = equality == factor                    ; c2 = 2 == 2 d = 3 !=                            (49,;)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(178,unary)→46
0 1 6 14 42 178 46                                stmts id2 = equality == unary                     ; c2 = 2 == 2 d = 3 !=                            (46,;)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(178,term)→45
0 1 6 14 42 178 45                                stmts id2 = equality == term                      ; c2 = 2 == 2 d = 3 !=                            (45,;)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(178,expr)→44
0 1 6 14 42 178 44                                stmts id2 = equality == expr                      ; c2 = 2 == 2 d = 3 !=                            (44,;)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(178,rel)→390
0 1 6 14 42 178 390                               stmts id2 = equality == rel                       ; c2 = 2 == 2 d = 3 !=                            (390,;)→r19：根据equality→equality == rel 归约：将状态栈和符号栈都出栈3个，再将equality加到符号栈里，再(14,equality)→42
0 1 6 14 42                                       stmts id2 = equality                              ; c2 = 2 == 2 d = 3 !=                            (42,;)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(14,join)→41
0 1 6 14 41                                       stmts id2 = join                                  ; c2 = 2 == 2 d = 3 !=                            (41,;)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(14,bool)→39
0 1 6 14 39                                       stmts id2 = bool                                  ; c2 = 2 == 2 d = 3 !=                            (39,;)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(14,s2)→37
0 1 6 14 37                                       stmts id2 = s2                                    ; c2 = 2 == 2 d = 3 !=                            (37,;)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(1,s)→3
0 1 3                                             stmts s                                           ; c2 = 2 == 2 d = 3 !=                            (3,;)→s9
0 1 3 9                                           stmts s ;                                         c2 = 2 == 2 d = 3 != 3                            (9,id)→r4：根据stmt→s ;归约：将状态栈和符号栈都出栈2个，再将stmt加到符号栈里，再(1,stmt)→2
0 1 2                                             stmts stmt                                        c2 = 2 == 2 d = 3 != 3                            (2,id)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             c2 = 2 == 2 d = 3 != 3                            (1,id)→s7
0 1 7                                             stmts id                                          = 2 == 2 d = 3 != 3 ;                             (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = 2 == 2 d = 3 != 3 ;                             (6,=)→s14
0 1 6 14                                          stmts id2 =                                       2 == 2 d = 3 != 3 ; d2                            (14,num)→s53
0 1 6 14 53                                       stmts id2 = num                                   == 2 d = 3 != 3 ; d2 =                            (53,==)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(14,factor)→49
0 1 6 14 49                                       stmts id2 = factor                                == 2 d = 3 != 3 ; d2 =                            (49,==)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(14,unary)→46
0 1 6 14 46                                       stmts id2 = unary                                 == 2 d = 3 != 3 ; d2 =                            (46,==)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(14,term)→45
0 1 6 14 45                                       stmts id2 = term                                  == 2 d = 3 != 3 ; d2 =                            (45,==)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(14,expr)→44
0 1 6 14 44                                       stmts id2 = expr                                  == 2 d = 3 != 3 ; d2 =                            (44,==)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(14,rel)→43
0 1 6 14 43                                       stmts id2 = rel                                   == 2 d = 3 != 3 ; d2 =                            (43,==)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(14,equality)→42
0 1 6 14 42                                       stmts id2 = equality                              == 2 d = 3 != 3 ; d2 =                            (42,==)→s178
0 1 6 14 42 178                                   stmts id2 = equality ==                           2 d = 3 != 3 ; d2 = 4                             (178,num)→s53
0 1 6 14 42 178 53                                stmts id2 = equality == num                       d = 3 != 3 ; d2 = 4 !=                            (53,id)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(178,factor)→49
0 1 6 14 42 178 49                                stmts id2 = equality == factor                    d = 3 != 3 ; d2 = 4 !=                            (49,id)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(178,unary)→46
0 1 6 14 42 178 46                                stmts id2 = equality == unary                     d = 3 != 3 ; d2 = 4 !=                            (46,id)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(178,term)→45
0 1 6 14 42 178 45                                stmts id2 = equality == term                      d = 3 != 3 ; d2 = 4 !=                            (45,id)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(178,expr)→44
0 1 6 14 42 178 44                                stmts id2 = equality == expr                      d = 3 != 3 ; d2 = 4 !=                            (44,id)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(178,rel)→390
0 1 6 14 42 178 390                               stmts id2 = equality == rel                       d = 3 != 3 ; d2 = 4 !=                            (390,id)→r19：根据equality→equality == rel 归约：将状态栈和符号栈都出栈3个，再将equality加到符号栈里，再(14,equality)→42
0 1 6 14 42                                       stmts id2 = equality                              d = 3 != 3 ; d2 = 4 !=                            (42,id)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(14,join)→41
0 1 6 14 41                                       stmts id2 = join                                  d = 3 != 3 ; d2 = 4 !=                            (41,id)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(14,bool)→39
