状态栈后10个                                           符号栈后10个                                           输入前10个                                            动作                                                
0 1 5 11                                          stmts i0 i                                        a2 = 0 if ( 1 ) { a =                             (11,id)→s7
0 1 5 11 7                                        stmts i0 i id                                     = 0 if ( 1 ) { a = 1                              (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(11,id2)→33
0 1 5 11 33                                       stmts i0 i id2                                    = 0 if ( 1 ) { a = 1                              (33,=)→s131
0 1 5 11 33 131                                   stmts i0 i id2 =                                  0 if ( 1 ) { a = 1 ;                              (131,num)→s321
0 1 5 11 33 131 321                               stmts i0 i id2 = num                              if ( 1 ) { a = 1 ; b                              (321,if)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(131,factor)→317
0 1 5 11 33 131 317                               stmts i0 i id2 = factor                           if ( 1 ) { a = 1 ; b                              (317,if)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(131,unary)→314
0 1 5 11 33 131 314                               stmts i0 i id2 = unary                            if ( 1 ) { a = 1 ; b                              (314,if)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(131,term)→313
0 1 5 11 33 131 313                               stmts i0 i id2 = term                             if ( 1 ) { a = 1 ; b                              (313,if)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(131,expr)→312
0 1 5 11 33 131 312                               stmts i0 i id2 = expr                             if ( 1 ) { a = 1 ; b                              (312,if)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(131,rel)→311
0 1 5 11 33 131 311                               stmts i0 i id2 = rel                              if ( 1 ) { a = 1 ; b                              (311,if)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(131,equality)→310
0 1 5 11 33 131 310                               stmts i0 i id2 = equality                         if ( 1 ) { a = 1 ; b                              (310,if)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(131,join)→309
0 1 5 11 33 131 309                               stmts i0 i id2 = join                             if ( 1 ) { a = 1 ; b                              (309,if)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(131,bool)→307
0 1 5 11 33 131 307                               stmts i0 i id2 = bool                             if ( 1 ) { a = 1 ; b                              (307,if)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(131,s2)→305
0 1 5 11 33 131 305                               stmts i0 i id2 = s2                               if ( 1 ) { a = 1 ; b                              (305,if)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(11,s)→30
0 1 5 11 30                                       stmts i0 i s                                      if ( 1 ) { a = 1 ; b                              (30,if)→r5：根据stmt→s归约：将状态栈和符号栈都出栈1个，再将stmt加到符号栈里，再(11,stmt)→29
0 1 5 11 29                                       stmts i0 i stmt                                   if ( 1 ) { a = 1 ; b                              (29,if)→r60：根据stmt→i0 i stmt归约：将状态栈和符号栈都出栈3个，再将stmt加到符号栈里，再(1,stmt)→2
0 1 2                                             stmts stmt                                        if ( 1 ) { a = 1 ; b                              (2,if)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             if ( 1 ) { a = 1 ; b                              (1,if)→r62：根据i0→ε归约：将状态栈和符号栈都出栈0个，再将i0加到符号栈里，再(1,i0)→5
0 1 5                                             stmts i0                                          if ( 1 ) { a = 1 ; b                              (5,if)→s13
0 1 5 13                                          stmts i0 if                                       ( 1 ) { a = 1 ; b =                               (13,()→s36
0 1 5 13 36                                       stmts i0 if (                                     1 ) { a = 1 ; b = 1                               (36,num)→s155
0 1 5 13 36 155                                   stmts i0 if ( num                                 ) { a = 1 ; b = 1 ;                               (155,))→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(36,factor)→150
0 1 5 13 36 150                                   stmts i0 if ( factor                              ) { a = 1 ; b = 1 ;                               (150,))→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(36,unary)→147
0 1 5 13 36 147                                   stmts i0 if ( unary                               ) { a = 1 ; b = 1 ;                               (147,))→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(36,term)→146
0 1 5 13 36 146                                   stmts i0 if ( term                                ) { a = 1 ; b = 1 ;                               (146,))→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(36,expr)→145
0 1 5 13 36 145                                   stmts i0 if ( expr                                ) { a = 1 ; b = 1 ;                               (145,))→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(36,rel)→144
0 1 5 13 36 144                                   stmts i0 if ( rel                                 ) { a = 1 ; b = 1 ;                               (144,))→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(36,equality)→143
0 1 5 13 36 143                                   stmts i0 if ( equality                            ) { a = 1 ; b = 1 ;                               (143,))→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(36,join)→142
0 1 5 13 36 142                                   stmts i0 if ( join                                ) { a = 1 ; b = 1 ;                               (142,))→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(36,bool)→141
0 1 5 13 36 141                                   stmts i0 if ( bool                                ) { a = 1 ; b = 1 ;                               (141,))→s347
0 1 5 13 36 141 347                               stmts i0 if ( bool )                              { a = 1 ; b = 1 ; c                               (347,{)→r63：根据i→if ( bool )归约：将状态栈和符号栈都出栈4个，再将i加到符号栈里，再(5,i)→11
0 1 5 11                                          stmts i0 i                                        { a = 1 ; b = 1 ; c                               (11,{)→s31
0 1 5 11 31                                       stmts i0 i {                                      a = 1 ; b = 1 ; c =                               (31,id)→r2：根据stmts→ε 归约：将状态栈和符号栈都出栈0个，再将stmts加到符号栈里，再(31,stmts)→128
0 1 5 11 31 128                                   stmts i0 i { stmts                                a = 1 ; b = 1 ; c =                               (128,id)→s7
0 1 5 11 31 128 7                                 stmts i0 i { stmts id                             = 1 ; b = 1 ; c = 1                               (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(128,id2)→28
0 1 5 11 31 128 28                                stmts i0 i { stmts id2                            = 1 ; b = 1 ; c = 1                               (28,=)→s116
0 1 5 11 31 128 28 116                            stmts i0 i { stmts id2 =                          1 ; b = 1 ; c = 1 }                               (116,num)→s276
0 1 5 11 31 128 28 116 276                        stmts i0 i { stmts id2 = num                      ; b = 1 ; c = 1 } if                              (276,;)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(116,factor)→272
0 1 5 11 31 128 28 116 272                        stmts i0 i { stmts id2 = factor                   ; b = 1 ; c = 1 } if                              (272,;)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(116,unary)→269
0 1 5 11 31 128 28 116 269                        stmts i0 i { stmts id2 = unary                    ; b = 1 ; c = 1 } if                              (269,;)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(116,term)→268
0 1 5 11 31 128 28 116 268                        stmts i0 i { stmts id2 = term                     ; b = 1 ; c = 1 } if                              (268,;)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(116,expr)→267
0 1 5 11 31 128 28 116 267                        stmts i0 i { stmts id2 = expr                     ; b = 1 ; c = 1 } if                              (267,;)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(116,rel)→266
0 1 5 11 31 128 28 116 266                        stmts i0 i { stmts id2 = rel                      ; b = 1 ; c = 1 } if                              (266,;)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(116,equality)→265
0 1 5 11 31 128 28 116 265                        stmts i0 i { stmts id2 = equality                 ; b = 1 ; c = 1 } if                              (265,;)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(116,join)→264
0 1 5 11 31 128 28 116 264                        stmts i0 i { stmts id2 = join                     ; b = 1 ; c = 1 } if                              (264,;)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(116,bool)→262
0 1 5 11 31 128 28 116 262                        stmts i0 i { stmts id2 = bool                     ; b = 1 ; c = 1 } if                              (262,;)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(116,s2)→260
0 1 5 11 31 128 28 116 260                        stmts i0 i { stmts id2 = s2                       ; b = 1 ; c = 1 } if                              (260,;)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(128,s)→25
0 1 5 11 31 128 25                                stmts i0 i { stmts s                              ; b = 1 ; c = 1 } if                              (25,;)→s112
0 1 5 11 31 128 25 112                            stmts i0 i { stmts s ;                            b = 1 ; c = 1 } if (                              (112,id)→r4：根据stmt→s ;归约：将状态栈和符号栈都出栈2个，再将stmt加到符号栈里，再(128,stmt)→24
0 1 5 11 31 128 24                                stmts i0 i { stmts stmt                           b = 1 ; c = 1 } if (                              (24,id)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(31,stmts)→128
0 1 5 11 31 128                                   stmts i0 i { stmts                                b = 1 ; c = 1 } if (                              (128,id)→s7
0 1 5 11 31 128 7                                 stmts i0 i { stmts id                             = 1 ; c = 1 } if ( 0                              (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(128,id2)→28
0 1 5 11 31 128 28                                stmts i0 i { stmts id2                            = 1 ; c = 1 } if ( 0                              (28,=)→s116
0 1 5 11 31 128 28 116                            stmts i0 i { stmts id2 =                          1 ; c = 1 } if ( 0 )                              (116,num)→s276
0 1 5 11 31 128 28 116 276                        stmts i0 i { stmts id2 = num                      ; c = 1 } if ( 0 ) {                              (276,;)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(116,factor)→272
0 1 5 11 31 128 28 116 272                        stmts i0 i { stmts id2 = factor                   ; c = 1 } if ( 0 ) {                              (272,;)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(116,unary)→269
0 1 5 11 31 128 28 116 269                        stmts i0 i { stmts id2 = unary                    ; c = 1 } if ( 0 ) {                              (269,;)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(116,term)→268
0 1 5 11 31 128 28 116 268                        stmts i0 i { stmts id2 = term                     ; c = 1 } if ( 0 ) {                              (268,;)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(116,expr)→267
0 1 5 11 31 128 28 116 267                        stmts i0 i { stmts id2 = expr                     ; c = 1 } if ( 0 ) {                              (267,;)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(116,rel)→266
0 1 5 11 31 128 28 116 266                        stmts i0 i { stmts id2 = rel                      ; c = 1 } if ( 0 ) {                              (266,;)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(116,equality)→265
0 1 5 11 31 128 28 116 265                        stmts i0 i { stmts id2 = equality                 ; c = 1 } if ( 0 ) {                              (265,;)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(116,join)→264
0 1 5 11 31 128 28 116 264                        stmts i0 i { stmts id2 = join                     ; c = 1 } if ( 0 ) {                              (264,;)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(116,bool)→262
0 1 5 11 31 128 28 116 262                        stmts i0 i { stmts id2 = bool                     ; c = 1 } if ( 0 ) {                              (262,;)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(116,s2)→260
0 1 5 11 31 128 28 116 260                        stmts i0 i { stmts id2 = s2                       ; c = 1 } if ( 0 ) {                              (260,;)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(128,s)→25
0 1 5 11 31 128 25                                stmts i0 i { stmts s                              ; c = 1 } if ( 0 ) {                              (25,;)→s112
0 1 5 11 31 128 25 112                            stmts i0 i { stmts s ;                            c = 1 } if ( 0 ) { d                              (112,id)→r4：根据stmt→s ;归约：将状态栈和符号栈都出栈2个，再将stmt加到符号栈里，再(128,stmt)→24
0 1 5 11 31 128 24                                stmts i0 i { stmts stmt                           c = 1 } if ( 0 ) { d                              (24,id)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(31,stmts)→128
0 1 5 11 31 128                                   stmts i0 i { stmts                                c = 1 } if ( 0 ) { d                              (128,id)→s7
0 1 5 11 31 128 7                                 stmts i0 i { stmts id                             = 1 } if ( 0 ) { d =                              (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(128,id2)→28
0 1 5 11 31 128 28                                stmts i0 i { stmts id2                            = 1 } if ( 0 ) { d =                              (28,=)→s116
0 1 5 11 31 128 28 116                            stmts i0 i { stmts id2 =                          1 } if ( 0 ) { d = 0                              (116,num)→s276
0 1 5 11 31 128 28 116 276                        stmts i0 i { stmts id2 = num                      } if ( 0 ) { d = 0 ;                              (276,})→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(116,factor)→272
0 1 5 11 31 128 28 116 272                        stmts i0 i { stmts id2 = factor                   } if ( 0 ) { d = 0 ;                              (272,})→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(116,unary)→269
0 1 5 11 31 128 28 116 269                        stmts i0 i { stmts id2 = unary                    } if ( 0 ) { d = 0 ;                              (269,})→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(116,term)→268
0 1 5 11 31 128 28 116 268                        stmts i0 i { stmts id2 = term                     } if ( 0 ) { d = 0 ;                              (268,})→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(116,expr)→267
0 1 5 11 31 128 28 116 267                        stmts i0 i { stmts id2 = expr                     } if ( 0 ) { d = 0 ;                              (267,})→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(116,rel)→266
0 1 5 11 31 128 28 116 266                        stmts i0 i { stmts id2 = rel                      } if ( 0 ) { d = 0 ;                              (266,})→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(116,equality)→265
0 1 5 11 31 128 28 116 265                        stmts i0 i { stmts id2 = equality                 } if ( 0 ) { d = 0 ;                              (265,})→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(116,join)→264
0 1 5 11 31 128 28 116 264                        stmts i0 i { stmts id2 = join                     } if ( 0 ) { d = 0 ;                              (264,})→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(116,bool)→262
0 1 5 11 31 128 28 116 262                        stmts i0 i { stmts id2 = bool                     } if ( 0 ) { d = 0 ;                              (262,})→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(116,s2)→260
0 1 5 11 31 128 28 116 260                        stmts i0 i { stmts id2 = s2                       } if ( 0 ) { d = 0 ;                              (260,})→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(128,s)→25
0 1 5 11 31 128 25                                stmts i0 i { stmts s                              } if ( 0 ) { d = 0 ;                              (25,})→r5：根据stmt→s归约：将状态栈和符号栈都出栈1个，再将stmt加到符号栈里，再(128,stmt)→24
0 1 5 11 31 128 24                                stmts i0 i { stmts stmt                           } if ( 0 ) { d = 0 ;                              (24,})→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(31,stmts)→128
0 1 5 11 31 128                                   stmts i0 i { stmts                                } if ( 0 ) { d = 0 ;                              (128,})→s302
0 1 5 11 31 128 302                               stmts i0 i { stmts }                              if ( 0 ) { d = 0 ; e                              (302,if)→r6：根据stmt→{ stmts }归约：将状态栈和符号栈都出栈3个，再将stmt加到符号栈里，再(11,stmt)→29
0 1 5 11 29                                       stmts i0 i stmt                                   if ( 0 ) { d = 0 ; e                              (29,if)→r60：根据stmt→i0 i stmt归约：将状态栈和符号栈都出栈3个，再将stmt加到符号栈里，再(1,stmt)→2
0 1 2                                             stmts stmt                                        if ( 0 ) { d = 0 ; e                              (2,if)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             if ( 0 ) { d = 0 ; e                              (1,if)→r62：根据i0→ε归约：将状态栈和符号栈都出栈0个，再将i0加到符号栈里，再(1,i0)→5
0 1 5                                             stmts i0                                          if ( 0 ) { d = 0 ; e                              (5,if)→s13
0 1 5 13                                          stmts i0 if                                       ( 0 ) { d = 0 ; e =                               (13,()→s36
0 1 5 13 36                                       stmts i0 if (                                     0 ) { d = 0 ; e = 0                               (36,num)→s155
0 1 5 13 36 155                                   stmts i0 if ( num                                 ) { d = 0 ; e = 0 }                               (155,))→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(36,factor)→150
0 1 5 13 36 150                                   stmts i0 if ( factor                              ) { d = 0 ; e = 0 }                               (150,))→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(36,unary)→147
0 1 5 13 36 147                                   stmts i0 if ( unary                               ) { d = 0 ; e = 0 }                               (147,))→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(36,term)→146
0 1 5 13 36 146                                   stmts i0 if ( term                                ) { d = 0 ; e = 0 }                               (146,))→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(36,expr)→145
0 1 5 13 36 145                                   stmts i0 if ( expr                                ) { d = 0 ; e = 0 }                               (145,))→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(36,rel)→144
0 1 5 13 36 144                                   stmts i0 if ( rel                                 ) { d = 0 ; e = 0 }                               (144,))→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(36,equality)→143
0 1 5 13 36 143                                   stmts i0 if ( equality                            ) { d = 0 ; e = 0 }                               (143,))→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(36,join)→142
0 1 5 13 36 142                                   stmts i0 if ( join                                ) { d = 0 ; e = 0 }                               (142,))→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(36,bool)→141
0 1 5 13 36 141                                   stmts i0 if ( bool                                ) { d = 0 ; e = 0 }                               (141,))→s347
0 1 5 13 36 141 347                               stmts i0 if ( bool )                              { d = 0 ; e = 0 } else                            (347,{)→r63：根据i→if ( bool )归约：将状态栈和符号栈都出栈4个，再将i加到符号栈里，再(5,i)→11
0 1 5 11                                          stmts i0 i                                        { d = 0 ; e = 0 } else                            (11,{)→s31
0 1 5 11 31                                       stmts i0 i {                                      d = 0 ; e = 0 } else {                            (31,id)→r2：根据stmts→ε 归约：将状态栈和符号栈都出栈0个，再将stmts加到符号栈里，再(31,stmts)→128
0 1 5 11 31 128                                   stmts i0 i { stmts                                d = 0 ; e = 0 } else {                            (128,id)→s7
0 1 5 11 31 128 7                                 stmts i0 i { stmts id                             = 0 ; e = 0 } else { d                            (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(128,id2)→28
0 1 5 11 31 128 28                                stmts i0 i { stmts id2                            = 0 ; e = 0 } else { d                            (28,=)→s116
0 1 5 11 31 128 28 116                            stmts i0 i { stmts id2 =                          0 ; e = 0 } else { d =                            (116,num)→s276
0 1 5 11 31 128 28 116 276                        stmts i0 i { stmts id2 = num                      ; e = 0 } else { d = 1                            (276,;)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(116,factor)→272
0 1 5 11 31 128 28 116 272                        stmts i0 i { stmts id2 = factor                   ; e = 0 } else { d = 1                            (272,;)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(116,unary)→269
0 1 5 11 31 128 28 116 269                        stmts i0 i { stmts id2 = unary                    ; e = 0 } else { d = 1                            (269,;)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(116,term)→268
0 1 5 11 31 128 28 116 268                        stmts i0 i { stmts id2 = term                     ; e = 0 } else { d = 1                            (268,;)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(116,expr)→267
0 1 5 11 31 128 28 116 267                        stmts i0 i { stmts id2 = expr                     ; e = 0 } else { d = 1                            (267,;)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(116,rel)→266
0 1 5 11 31 128 28 116 266                        stmts i0 i { stmts id2 = rel                      ; e = 0 } else { d = 1                            (266,;)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(116,equality)→265
0 1 5 11 31 128 28 116 265                        stmts i0 i { stmts id2 = equality                 ; e = 0 } else { d = 1                            (265,;)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(116,join)→264
0 1 5 11 31 128 28 116 264                        stmts i0 i { stmts id2 = join                     ; e = 0 } else { d = 1                            (264,;)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(116,bool)→262
0 1 5 11 31 128 28 116 262                        stmts i0 i { stmts id2 = bool                     ; e = 0 } else { d = 1                            (262,;)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(116,s2)→260
0 1 5 11 31 128 28 116 260                        stmts i0 i { stmts id2 = s2                       ; e = 0 } else { d = 1                            (260,;)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(128,s)→25
0 1 5 11 31 128 25                                stmts i0 i { stmts s                              ; e = 0 } else { d = 1                            (25,;)→s112
0 1 5 11 31 128 25 112                            stmts i0 i { stmts s ;                            e = 0 } else { d = 1 ;                            (112,id)→r4：根据stmt→s ;归约：将状态栈和符号栈都出栈2个，再将stmt加到符号栈里，再(128,stmt)→24
0 1 5 11 31 128 24                                stmts i0 i { stmts stmt                           e = 0 } else { d = 1 ;                            (24,id)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(31,stmts)→128
0 1 5 11 31 128                                   stmts i0 i { stmts                                e = 0 } else { d = 1 ;                            (128,id)→s7
0 1 5 11 31 128 7                                 stmts i0 i { stmts id                             = 0 } else { d = 1 ; e                            (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(128,id2)→28
0 1 5 11 31 128 28                                stmts i0 i { stmts id2                            = 0 } else { d = 1 ; e                            (28,=)→s116
0 1 5 11 31 128 28 116                            stmts i0 i { stmts id2 =                          0 } else { d = 1 ; e =                            (116,num)→s276
0 1 5 11 31 128 28 116 276                        stmts i0 i { stmts id2 = num                      } else { d = 1 ; e = 1                            (276,})→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(116,factor)→272
0 1 5 11 31 128 28 116 272                        stmts i0 i { stmts id2 = factor                   } else { d = 1 ; e = 1                            (272,})→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(116,unary)→269
0 1 5 11 31 128 28 116 269                        stmts i0 i { stmts id2 = unary                    } else { d = 1 ; e = 1                            (269,})→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(116,term)→268
0 1 5 11 31 128 28 116 268                        stmts i0 i { stmts id2 = term                     } else { d = 1 ; e = 1                            (268,})→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(116,expr)→267
0 1 5 11 31 128 28 116 267                        stmts i0 i { stmts id2 = expr                     } else { d = 1 ; e = 1                            (267,})→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(116,rel)→266
0 1 5 11 31 128 28 116 266                        stmts i0 i { stmts id2 = rel                      } else { d = 1 ; e = 1                            (266,})→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(116,equality)→265
0 1 5 11 31 128 28 116 265                        stmts i0 i { stmts id2 = equality                 } else { d = 1 ; e = 1                            (265,})→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(116,join)→264
0 1 5 11 31 128 28 116 264                        stmts i0 i { stmts id2 = join                     } else { d = 1 ; e = 1                            (264,})→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(116,bool)→262
